Date,App_Name,Category,Minutes_Used
2026-07-20,Instagram,Social Media,48
2026-07-20,Twitter/X,Social Media,19
2026-07-20,Snapchat,Social Media,15
2026-07-20,YouTube,Entertainment,27
2026-07-20,Netflix,Entertainment,28
2026-07-20,Spotify,Entertainment,35
2026-07-20,Coursera,Education,6
2026-07-20,Khan Academy,Education,18
2026-07-20,VS Code,Coding,52
2026-07-20,LeetCode,Coding,20
2026-07-20,WhatsApp,Communication,20
2026-07-21,Instagram,Social Media,43
2026-07-21,Twitter/X,Social Media,25
2026-07-21,Snapchat,Social Media,8
2026-07-21,YouTube,Entertainment,59
2026-07-21,Netflix,Entertainment,23
2026-07-21,Spotify,Entertainment,17
2026-07-21,Coursera,Education,21
2026-07-21,Khan Academy,Education,20
2026-07-21,VS Code,Coding,31
2026-07-21,LeetCode,Coding,33
2026-07-21,WhatsApp,Communication,21
2026-07-22,Instagram,Social Media,49
2026-07-22,Twitter/X,Social Media,10
2026-07-22,Snapchat,Social Media,6
2026-07-22,YouTube,Entertainment,40
2026-07-22,Spotify,Entertainment,26
2026-07-22,Coursera,Education,25
2026-07-22,Khan Academy,Education,11
2026-07-22,VS Code,Coding,54
2026-07-22,LeetCode,Coding,26
2026-07-22,WhatsApp,Communication,19
2026-07-23,Instagram,Social Media,47
2026-07-23,Twitter/X,Social Media,20
2026-07-23,Snapchat,Social Media,19
2026-07-23,YouTube,Entertainment,22
2026-07-23,Netflix,Entertainment,4
2026-07-23,Spotify,Entertainment,33
2026-07-23,Coursera,Education,6
2026-07-23,Khan Academy,Education,20
2026-07-23,VS Code,Coding,38
2026-07-23,LeetCode,Coding,16
2026-07-23,WhatsApp,Communication,27
2026-07-24,Instagram,Social Media,23
2026-07-24,Twitter/X,Social Media,18
2026-07-24,Snapchat,Social Media,6
2026-07-24,YouTube,Entertainment,28
2026-07-24,Netflix,Entertainment,25
2026-07-24,Spotify,Entertainment,35
2026-07-24,Coursera,Education,1
2026-07-24,Khan Academy,Education,19
2026-07-24,VS Code,Coding,57
2026-07-24,LeetCode,Coding,24
2026-07-24,WhatsApp,Communication,16
2026-07-25,Instagram,Social Media,83
2026-07-25,Twitter/X,Social Media,17
2026-07-25,Snapchat,Social Media,29
2026-07-25,YouTube,Entertainment,84
2026-07-25,Netflix,Entertainment,43
2026-07-25,Spotify,Entertainment,36
2026-07-25,Coursera,Education,3
2026-07-25,Khan Academy,Education,1
2026-07-25,VS Code,Coding,39
2026-07-25,LeetCode,Coding,3
2026-07-25,WhatsApp,Communication,16
